State,Cause,Year,Deaths,Population
Alabama,Suicide-Non-Firearm,1999,120,4430143
Alaska,Suicide-Non-Firearm,1999,41,624781
Arizona,Suicide-Non-Firearm,1999,290,5023824
Arkansas,Suicide-Non-Firearm,1999,102,2651860
California,Suicide-Non-Firearm,1999,1545,33499204
Colorado,Suicide-Non-Firearm,1999,265,4226018
Connecticut,Suicide-Non-Firearm,1999,163,3386401
Delaware,Suicide-Non-Firearm,1999,42,774990
District of Columbia,Suicide-Non-Firearm,1999,17,570220
Florida,Suicide-Non-Firearm,1999,893,15759421
Georgia,Suicide-Non-Firearm,1999,245,8045966
Hawaii,Suicide-Non-Firearm,1999,113,1210300
Idaho,Suicide-Non-Firearm,1999,56,1275675
Illinois,Suicide-Non-Firearm,1999,539,12359023
Indiana,Suicide-Non-Firearm,1999,260,6044972
Iowa,Suicide-Non-Firearm,1999,145,2917637
Kansas,Suicide-Non-Firearm,1999,133,2678340
Kentucky,Suicide-Non-Firearm,1999,136,4018053
Louisiana,Suicide-Non-Firearm,1999,129,4460814
Maine,Suicide-Non-Firearm,1999,84,1266808
Maryland,Suicide-Non-Firearm,1999,194,5254511
Massachusetts,Suicide-Non-Firearm,1999,313,6317345
Michigan,Suicide-Non-Firearm,1999,432,9897117
Minnesota,Suicide-Non-Firearm,1999,209,4873481
Mississippi,Suicide-Non-Firearm,1999,60,2828412
Missouri,Suicide-Non-Firearm,1999,274,5561950
Montana,Suicide-Non-Firearm,1999,66,897511
Nebraska,Suicide-Non-Firearm,1999,69,1704765
Nevada,Suicide-Non-Firearm,1999,145,1934719
New Hampshire,Suicide-Non-Firearm,1999,73,1222015
New Jersey,Suicide-Non-Firearm,1999,368,8359593
New Mexico,Suicide-Non-Firearm,1999,138,1808082
New York,Suicide-Non-Firearm,1999,757,18882726
North Carolina,Suicide-Non-Firearm,1999,317,7949362
North Dakota,Suicide-Non-Firearm,1999,34,644259
Ohio,Suicide-Non-Firearm,1999,476,11335457
Oklahoma,Suicide-Non-Firearm,1999,175,3437148
Oregon,Suicide-Non-Firearm,1999,169,3393941
Pennsylvania,Suicide-Non-Firearm,1999,575,12263805
Rhode Island,Suicide-Non-Firearm,1999,61,1040402
South Carolina,Suicide-Non-Firearm,1999,131,3974684
South Dakota,Suicide-Non-Firearm,1999,47,750417
Tennessee,Suicide-Non-Firearm,1999,229,5638708
Texas,Suicide-Non-Firearm,1999,781,20558220
Utah,Suicide-Non-Firearm,1999,129,2203483
Vermont,Suicide-Non-Firearm,1999,17,604687
Virginia,Suicide-Non-Firearm,1999,288,7000176
Washington,Suicide-Non-Firearm,1999,366,5842565
West Virginia,Suicide-Non-Firearm,1999,60,1811801
Wisconsin,Suicide-Non-Firearm,1999,294,5332666
Wyoming,Suicide-Non-Firearm,1999,35,491780
Alabama,Suicide-Non-Firearm,2000,156,4451687
Alaska,Suicide-Non-Firearm,2000,41,627428
Arizona,Suicide-Non-Firearm,2000,295,5166810
Arkansas,Suicide-Non-Firearm,2000,105,2678217
California,Suicide-Non-Firearm,2000,1482,33998767
Colorado,Suicide-Non-Firearm,2000,263,4327788
Connecticut,Suicide-Non-Firearm,2000,191,3411714
Delaware,Suicide-Non-Firearm,2000,42,786404
District of Columbia,Suicide-Non-Firearm,2000,16,571723
Florida,Suicide-Non-Firearm,2000,900,16047246
Georgia,Suicide-Non-Firearm,2000,259,8230053
Hawaii,Suicide-Non-Firearm,2000,100,1211479
Idaho,Suicide-Non-Firearm,2000,60,1299474
Illinois,Suicide-Non-Firearm,2000,572,12437888
Indiana,Suicide-Non-Firearm,2000,272,6091392
Iowa,Suicide-Non-Firearm,2000,132,2928046
Kansas,Suicide-Non-Firearm,2000,139,2692681
Kentucky,Suicide-Non-Firearm,2000,148,4048831
Louisiana,Suicide-Non-Firearm,2000,142,4468879
Maine,Suicide-Non-Firearm,2000,56,1277179
Maryland,Suicide-Non-Firearm,2000,229,5310451
Massachusetts,Suicide-Non-Firearm,2000,282,6362583
Michigan,Suicide-Non-Firearm,2000,443,9955146
Minnesota,Suicide-Non-Firearm,2000,217,4933787
Mississippi,Suicide-Non-Firearm,2000,74,2848293
Missouri,Suicide-Non-Firearm,2000,265,5605868
Montana,Suicide-Non-Firearm,2000,51,903283
Nebraska,Suicide-Non-Firearm,2000,78,1713194
Nevada,Suicide-Non-Firearm,2000,159,2018244
New Hampshire,Suicide-Non-Firearm,2000,64,1240361
New Jersey,Suicide-Non-Firearm,2000,406,8430913
New Mexico,Suicide-Non-Firearm,2000,152,1820704
New York,Suicide-Non-Firearm,2000,682,18998429
North Carolina,Suicide-Non-Firearm,2000,350,8078824
North Dakota,Suicide-Non-Firearm,2000,33,641183
Ohio,Suicide-Non-Firearm,2000,504,11363719
Oklahoma,Suicide-Non-Firearm,2000,196,3453861
Oregon,Suicide-Non-Firearm,2000,191,3430828
Pennsylvania,Suicide-Non-Firearm,2000,600,12285041
Rhode Island,Suicide-Non-Firearm,2000,48,1050725
South Carolina,Suicide-Non-Firearm,2000,146,4023396
South Dakota,Suicide-Non-Firearm,2000,44,755657
Tennessee,Suicide-Non-Firearm,2000,229,5703094
Texas,Suicide-Non-Firearm,2000,784,20946049
Utah,Suicide-Non-Firearm,2000,124,2244210
Vermont,Suicide-Non-Firearm,2000,30,609876
Virginia,Suicide-Non-Firearm,2000,284,7104354
Washington,Suicide-Non-Firearm,2000,337,5911104
West Virginia,Suicide-Non-Firearm,2000,72,1806977
Wisconsin,Suicide-Non-Firearm,2000,286,5374133
Wyoming,Suicide-Non-Firearm,2000,33,493963
Alabama,Suicide-Non-Firearm,2001,125,4467634
Alaska,Suicide-Non-Firearm,2001,37,633714
Arizona,Suicide-Non-Firearm,2001,299,5273477
Arkansas,Suicide-Non-Firearm,2001,108,2691571
California,Suicide-Non-Firearm,2001,1381,34479458
Colorado,Suicide-Non-Firearm,2001,332,4425687
Connecticut,Suicide-Non-Firearm,2001,168,3432835
Delaware,Suicide-Non-Firearm,2001,55,795699
District of Columbia,Suicide-Non-Firearm,2001,19,574504
Florida,Suicide-Non-Firearm,2001,1117,16356966
Georgia,Suicide-Non-Firearm,2001,309,8377038
Hawaii,Suicide-Non-Firearm,2001,105,1225948
Idaho,Suicide-Non-Firearm,2001,74,1319962
Illinois,Suicide-Non-Firearm,2001,634,12488445
Indiana,Suicide-Non-Firearm,2001,304,6127760
Iowa,Suicide-Non-Firearm,2001,147,2931997
Kansas,Suicide-Non-Firearm,2001,133,2702162
Kentucky,Suicide-Non-Firearm,2001,164,4068132
Louisiana,Suicide-Non-Firearm,2001,141,4477875
Maine,Suicide-Non-Firearm,2001,75,1285692
Maryland,Suicide-Non-Firearm,2001,234,5374691
Massachusetts,Suicide-Non-Firearm,2001,319,6397634
Michigan,Suicide-Non-Firearm,2001,509,9991120
Minnesota,Suicide-Non-Firearm,2001,238,4982796
Mississippi,Suicide-Non-Firearm,2001,89,2852994
Missouri,Suicide-Non-Firearm,2001,298,5641142
Montana,Suicide-Non-Firearm,2001,42,906961
Nebraska,Suicide-Non-Firearm,2001,80,1719836
Nevada,Suicide-Non-Firearm,2001,168,2098399
New Hampshire,Suicide-Non-Firearm,2001,88,1255517
New Jersey,Suicide-Non-Firearm,2001,421,8492671
New Mexico,Suicide-Non-Firearm,2001,174,1831690
New York,Suicide-Non-Firearm,2001,800,19082838
North Carolina,Suicide-Non-Firearm,2001,365,8210122
North Dakota,Suicide-Non-Firearm,2001,38,639062
Ohio,Suicide-Non-Firearm,2001,548,11387404
Oklahoma,Suicide-Non-Firearm,2001,183,3467100
Oregon,Suicide-Non-Firearm,2001,225,3467937
Pennsylvania,Suicide-Non-Firearm,2001,592,12298970
Rhode Island,Suicide-Non-Firearm,2001,63,1057142
South Carolina,Suicide-Non-Firearm,2001,156,4064995
South Dakota,Suicide-Non-Firearm,2001,62,757972
Tennessee,Suicide-Non-Firearm,2001,231,5750789
Texas,Suicide-Non-Firearm,2001,848,21319622
Utah,Suicide-Non-Firearm,2001,139,2283715
Vermont,Suicide-Non-Firearm,2001,30,612223
Virginia,Suicide-Non-Firearm,2001,330,7198362
Washington,Suicide-Non-Firearm,2001,321,5985722
West Virginia,Suicide-Non-Firearm,2001,91,1801481
Wisconsin,Suicide-Non-Firearm,2001,322,5406835
Wyoming,Suicide-Non-Firearm,2001,22,494657
Alabama,Suicide-Non-Firearm,2002,133,4480089
Alaska,Suicide-Non-Firearm,2002,40,642337
Arizona,Suicide-Non-Firearm,2002,327,5396255
Arkansas,Suicide-Non-Firearm,2002,120,2705927
California,Suicide-Non-Firearm,2002,1738,34871843
Colorado,Suicide-Non-Firearm,2002,347,4490406
Connecticut,Suicide-Non-Firearm,2002,175,3458749
Delaware,Suicide-Non-Firearm,2002,36,806169
District of Columbia,Suicide-Non-Firearm,2002,18,573158
Florida,Suicide-Non-Firearm,2002,1133,16689370
Georgia,Suicide-Non-Firearm,2002,295,8508256
Hawaii,Suicide-Non-Firearm,2002,99,1239613
Idaho,Suicide-Non-Firearm,2002,65,1340372
Illinois,Suicide-Non-Firearm,2002,679,12525556
Indiana,Suicide-Non-Firearm,2002,295,6155967
Iowa,Suicide-Non-Firearm,2002,157,2934234
Kansas,Suicide-Non-Firearm,2002,161,2713535
Kentucky,Suicide-Non-Firearm,2002,176,4089875
Louisiana,Suicide-Non-Firearm,2002,150,4497267
Maine,Suicide-Non-Firearm,2002,87,1295960
Maryland,Suicide-Non-Firearm,2002,244,5440389
Massachusetts,Suicide-Non-Firearm,2002,337,6417206
