State,Cause,Year,Deaths,Population
Alabama,Suicide-Firearm,1999,435,4430143
Alaska,Suicide-Firearm,1999,55,624781
Arizona,Suicide-Firearm,1999,476,5023824
Arkansas,Suicide-Firearm,1999,234,2651860
California,Suicide-Firearm,1999,1532,33499204
Colorado,Suicide-Firearm,1999,309,4226018
Connecticut,Suicide-Firearm,1999,111,3386401
Delaware,Suicide-Firearm,1999,44,774990
District of Columbia,Suicide-Firearm,1999,13,570220
Florida,Suicide-Firearm,1999,1136,15759421
Georgia,Suicide-Firearm,1999,628,8045966
Hawaii,Suicide-Firearm,1999,23,1210300
Idaho,Suicide-Firearm,1999,125,1275675
Illinois,Suicide-Firearm,1999,481,12359023
Indiana,Suicide-Firearm,1999,368,6044972
Iowa,Suicide-Firearm,1999,160,2917637
Kansas,Suicide-Firearm,1999,166,2678340
Kentucky,Suicide-Firearm,1999,334,4018053
Louisiana,Suicide-Firearm,1999,389,4460814
Maine,Suicide-Firearm,1999,91,1266808
Maryland,Suicide-Firearm,1999,241,5254511
Massachusetts,Suicide-Firearm,1999,118,6317345
Michigan,Suicide-Firearm,1999,542,9897117
Minnesota,Suicide-Firearm,1999,228,4873481
Mississippi,Suicide-Firearm,1999,244,2828412
Missouri,Suicide-Firearm,1999,426,5561950
Montana,Suicide-Firearm,1999,96,897511
Nebraska,Suicide-Firearm,1999,108,1704765
Nevada,Suicide-Firearm,1999,259,1934719
New Hampshire,Suicide-Firearm,1999,64,1222015
New Jersey,Suicide-Firearm,1999,195,8359593
New Mexico,Suicide-Firearm,1999,180,1808082
New York,Suicide-Firearm,1999,439,18882726
North Carolina,Suicide-Firearm,1999,567,7949362
North Dakota,Suicide-Firearm,1999,39,644259
Ohio,Suicide-Firearm,1999,626,11335457
Oklahoma,Suicide-Firearm,1999,317,3437148
Oregon,Suicide-Firearm,1999,309,3393941
Pennsylvania,Suicide-Firearm,1999,709,12263805
Rhode Island,Suicide-Firearm,1999,35,1040402
South Carolina,Suicide-Firearm,1999,287,3974684
South Dakota,Suicide-Firearm,1999,56,750417
Tennessee,Suicide-Firearm,1999,497,5638708
Texas,Suicide-Firearm,1999,1224,20558220
Utah,Suicide-Firearm,1999,153,2203483
Vermont,Suicide-Firearm,1999,46,604687
Virginia,Suicide-Firearm,1999,503,7000176
Washington,Suicide-Firearm,1999,450,5842565
West Virginia,Suicide-Firearm,1999,169,1811801
Wisconsin,Suicide-Firearm,1999,299,5332666
Wyoming,Suicide-Firearm,1999,63,491780
Alabama,Suicide-Firearm,2000,427,4451687
Alaska,Suicide-Firearm,2000,96,627428
Arizona,Suicide-Firearm,2000,489,5166810
Arkansas,Suicide-Firearm,2000,244,2678217
California,Suicide-Firearm,2000,1487,33998767
Colorado,Suicide-Firearm,2000,350,4327788
Connecticut,Suicide-Firearm,2000,113,3411714
Delaware,Suicide-Firearm,2000,40,786404
District of Columbia,Suicide-Firearm,2000,P,571723
Florida,Suicide-Firearm,2000,1186,16047246
Georgia,Suicide-Firearm,2000,588,8230053
Hawaii,Suicide-Firearm,2000,37,1211479
Idaho,Suicide-Firearm,2000,107,1299474
Illinois,Suicide-Firearm,2000,431,12437888
Indiana,Suicide-Firearm,2000,411,6091392
Iowa,Suicide-Firearm,2000,157,2928046
Kansas,Suicide-Firearm,2000,186,2692681
Kentucky,Suicide-Firearm,2000,373,4048831
Louisiana,Suicide-Firearm,2000,326,4468879
Maine,Suicide-Firearm,2000,98,1277179
Maryland,Suicide-Firearm,2000,245,5310451
Massachusetts,Suicide-Firearm,2000,105,6362583
Michigan,Suicide-Firearm,2000,531,9955146
Minnesota,Suicide-Firearm,2000,223,4933787
Mississippi,Suicide-Firearm,2000,220,2848293
Missouri,Suicide-Firearm,2000,434,5605868
Montana,Suicide-Firearm,2000,107,903283
Nebraska,Suicide-Firearm,2000,115,1713194
Nevada,Suicide-Firearm,2000,241,2018244
New Hampshire,Suicide-Firearm,2000,67,1240361
New Jersey,Suicide-Firearm,2000,154,8430913
New Mexico,Suicide-Firearm,2000,175,1820704
New York,Suicide-Firearm,2000,450,18998429
North Carolina,Suicide-Firearm,2000,621,8078824
North Dakota,Suicide-Firearm,2000,35,641183
Ohio,Suicide-Firearm,2000,584,11363719
Oklahoma,Suicide-Firearm,2000,301,3453861
Oregon,Suicide-Firearm,2000,302,3430828
Pennsylvania,Suicide-Firearm,2000,756,12285041
Rhode Island,Suicide-Firearm,2000,27,1050725
South Carolina,Suicide-Firearm,2000,297,4023396
South Dakota,Suicide-Firearm,2000,51,755657
Tennessee,Suicide-Firearm,2000,501,5703094
Texas,Suicide-Firearm,2000,1269,20946049
Utah,Suicide-Firearm,2000,174,2244210
Vermont,Suicide-Firearm,2000,47,609876
Virginia,Suicide-Firearm,2000,484,7104354
Washington,Suicide-Firearm,2000,390,5911104
West Virginia,Suicide-Firearm,2000,173,1806977
Wisconsin,Suicide-Firearm,2000,304,5374133
Wyoming,Suicide-Firearm,2000,50,493963
Alabama,Suicide-Firearm,2001,387,4467634
Alaska,Suicide-Firearm,2001,65,633714
Arizona,Suicide-Firearm,2001,468,5273477
Arkansas,Suicide-Firearm,2001,274,2691571
California,Suicide-Firearm,2001,1450,34479458
Colorado,Suicide-Firearm,2001,390,4425687
Connecticut,Suicide-Firearm,2001,115,3432835
Delaware,Suicide-Firearm,2001,53,795699
District of Columbia,Suicide-Firearm,2001,21,574504
Florida,Suicide-Firearm,2001,1197,16356966
Georgia,Suicide-Firearm,2001,626,8377038
Hawaii,Suicide-Firearm,2001,31,1225948
Idaho,Suicide-Firearm,2001,136,1319962
Illinois,Suicide-Firearm,2001,505,12488445
Indiana,Suicide-Firearm,2001,411,6127760
Iowa,Suicide-Firearm,2001,157,2931997
Kansas,Suicide-Firearm,2001,160,2702162
Kentucky,Suicide-Firearm,2001,331,4068132
Louisiana,Suicide-Firearm,2001,352,4477875
Maine,Suicide-Firearm,2001,86,1285692
Maryland,Suicide-Firearm,2001,220,5374691
Massachusetts,Suicide-Firearm,2001,107,6397634
Michigan,Suicide-Firearm,2001,542,9991120
Minnesota,Suicide-Firearm,2001,242,4982796
Mississippi,Suicide-Firearm,2001,239,2852994
Missouri,Suicide-Firearm,2001,427,5641142
Montana,Suicide-Firearm,2001,133,906961
Nebraska,Suicide-Firearm,2001,107,1719836
Nevada,Suicide-Firearm,2001,219,2098399
New Hampshire,Suicide-Firearm,2001,79,1255517
New Jersey,Suicide-Firearm,2001,167,8492671
