Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,1999,16599,279040238,5.95,5.963513675
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2000,16586,282171936,5.88,5.881482802
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2001,16869,284968955,5.92,5.904599253
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2002,17108,287625193,5.95,5.915756834
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2003,16907,290107933,5.83,5.770637382
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2004,16750,292805298,5.72,5.647095397
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2005,17002,295516599,5.75,5.655766502
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2006,16883,298379912,5.66,5.539856206
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2007,17352,301231207,5.76,5.625321386
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2008,18223,304093966,5.99,5.815118121
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2009,18735,306771529,6.11,5.90956224
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2010,19392,308758105,6.28,6.059611624
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2011,19990,311644280,6.41,6.15648627
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2012,20666,313993272,6.58,6.287772237
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2013,21175,316234505,6.7,6.376398465
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2014,21386,318622525,6.71,6.356289833
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2015,22018,321039839,6.86,6.493687209
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2016,22938,323405935,7.09,6.712285313
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,2017,23854,325719178,7.32,6.916530883
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Suicide Firearm,,360433,5762130405,6.26,.
