Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1981,15089,229465316,6.58
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1982,13830,231664211,5.97
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1983,12040,233792237,5.15
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1984,11815,235825040,5.01
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1985,11836,237924038,4.97
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1986,13029,240133048,5.43
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1987,12657,242289046,5.22
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1988,13645,244499040,5.58
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1989,14464,246819195,5.86
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1990,16218,249464396,6.5
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1991,17746,252980942,7.01
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1992,17488,256514231,6.82
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1993,18253,259918595,7.02
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1994,17527,263125826,6.66
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1995,15551,266278403,5.84
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1996,14037,269394291,5.21
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1997,13252,272646932,4.86
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,1998,11798,275854116,4.28
Both Sexes,All Races,United States,Both,All Ages,1981,1998,Homicide Firearm,,260275,4508588903,5.77
