Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,1999,10828,279040238,3.88,3.822590452
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2000,10801,282171936,3.83,3.776704241
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2001,11348,284968955,3.98,3.93253428
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2002,11829,287625193,4.11,4.068085842
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2003,11920,290107933,4.11,4.069227374
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2004,11624,292805298,3.97,3.938707823
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2005,12352,295516599,4.18,4.165910895
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2006,12791,298379912,4.29,4.273604276
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2007,12632,301231207,4.19,4.204103189
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2008,12179,304093966,4.01,4.029036079
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2009,11493,306771529,3.75,3.777863605
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2010,11078,308758105,3.59,3.621094342
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2011,11068,311644280,3.55,3.592654928
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2012,11622,313993272,3.7,3.756550592
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2013,11208,316234505,3.54,3.602124985
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2014,11008,318622525,3.45,3.527011452
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2015,12979,321039839,4.04,4.137551149
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2016,14415,323405935,4.46,4.591962563
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,2017,14542,325719178,4.46,4.600835789
Both Sexes,All Races,United States,Both,All Ages,1999,2017,Homicide Firearm,,227717,5762130405,3.95,
