State,Year,HomicideDeaths,TotalPopulation,AdultPopulation
Alabama,1999,293,4430143,3308855
Alaska,1999,27,624781,433357
Arizona,1999,303,5023824,3691428
Arkansas,1999,118,2651860,1969920
California,1999,1380,33499204,24291326
Colorado,1999,121,4226018,3142080
Connecticut,1999,84,3386401,2551747
Delaware,1999,18,774990,582480
District of Columbia,1999,145,570220,455217
Florida,1999,545,15759421,12147710
Georgia,1999,438,8045966,5915268
Hawaii,1999,19,1210300,910620
Idaho,1999,16,1275675,908986
Illinois,1999,689,12359023,9118989
Indiana,1999,271,6044972,4478892
Iowa,1999,28,2917637,2184965
Kansas,1999,88,2678340,1965318
Kentucky,1999,142,4018053,3021671
Louisiana,1999,342,4460814,3233647
Maine,1999,15,1266808,964487
Maryland,1999,396,5254511,3905852
Massachusetts,1999,71,6317345,4821527
Michigan,1999,516,9897117,7305172
Minnesota,1999,54,4873481,3590379
Mississippi,1999,214,2828412,2052749
Missouri,1999,244,5561950,4133901
Montana,1999,17,897511,666378
Nebraska,1999,29,1704765,1253718
Nevada,1999,100,1934719,1441018
New Hampshire,1999,0,1222015,913592
New Jersey,1999,153,8359593,6292915
New Mexico,1999,91,1808082,1296947
New York,1999,540,18882726,14210139
North Carolina,1999,459,7949362,6017221
North Dakota,1999,0,644259,481203
Ohio,1999,256,11335457,8442187
Oklahoma,1999,150,3437148,2541470
Oregon,1999,60,3393941,2550457
Pennsylvania,1999,428,12263805,9333612
Rhode Island,1999,21,1040402,793388
South Carolina,1999,223,3974684,2967634
South Dakota,1999,0,750417,546679
Tennessee,1999,286,5638708,4252711
Texas,1999,794,20558220,14718009
Utah,1999,30,2203483,1488085
Vermont,1999,0,604687,456826
Virginia,1999,280,7000176,5277051
Washington,1999,108,5842565,4334741
West Virginia,1999,62,1811801,1405016
Wisconsin,1999,128,5332666,3965647
Wyoming,1999,0,491780,360987
Alabama,2000,294,4451687,3329569
Alaska,2000,16,627428,437100
Arizona,2000,274,5166810,3791658
Arkansas,2000,140,2678217,1997847
California,2000,1483,33998767,24734258
Colorado,2000,84,4327788,3221461
Connecticut,2000,61,3411714,2569858
Delaware,2000,0,786404,591474
District of Columbia,2000,138,571723,457116
Florida,2000,467,16047246,12392067
Georgia,2000,442,8230053,6052187
Hawaii,2000,0,1211479,917094
Idaho,2000,14,1299474,929387
Illinois,2000,674,12437888,9193051
Indiana,2000,218,6091392,4516824
Iowa,2000,25,2928046,2195219
Kansas,2000,101,2692681,1979423
Kentucky,2000,133,4048831,3054015
Louisiana,2000,427,4468879,3251973
Maine,2000,11,1277179,975966
Maryland,2000,353,5310451,3953793
Massachusetts,2000,67,6362583,4861423
Michigan,2000,504,9955146,7359758
Minnesota,2000,77,4933787,3644759
Mississippi,2000,214,2848293,2073778
Missouri,2000,273,5605868,4177945
Montana,2000,17,903283,673434
Nebraska,2000,41,1713194,1263129
Nevada,2000,89,2018244,1501990
New Hampshire,2000,0,1240361,930119
New Jersey,2000,172,8430913,6343422
New Mexico,2000,99,1820704,1313174
New York,2000,602,18998429,14313624
North Carolina,2000,458,8078824,6112186
North Dakota,2000,0,641183,480953
Ohio,2000,253,11363719,8478110
Oklahoma,2000,115,3453861,2562154
Oregon,2000,62,3430828,2583272
Pennsylvania,2000,439,12285041,9367340
Rhode Island,2000,27,1050725,802606
South Carolina,2000,169,4023396,3013026
South Dakota,2000,0,755657,553145
Tennessee,2000,343,5703094,4303820
Texas,2000,804,20946049,15041689
Utah,2000,16,2244210,1522954
Vermont,2000,0,609876,462412
Virginia,2000,284,7104354,5363597
Washington,2000,112,5911104,4395194
West Virginia,2000,56,1806977,1405888
Wisconsin,2000,112,5374133,4004731
Wyoming,2000,0,493963,365354
Alabama,2001,302,4467634,3347225
Alaska,2001,25,633714,444943
Arizona,2001,332,5273477,3874462
Arkansas,2001,110,2691571,2011965
California,2001,1589,34479458,25153992
Colorado,2001,98,4425687,3299040
Connecticut,2001,72,3432835,2586985
Delaware,2001,19,795699,599661
District of Columbia,2001,141,574504,459879
Florida,2001,573,16356966,12642527
Georgia,2001,454,8377038,6161648
Hawaii,2001,0,1225948,931815
Idaho,2001,25,1319962,946817
Illinois,2001,747,12488445,9244828
Indiana,2001,290,6127760,4548233
Iowa,2001,24,2931997,2203396
Kansas,2001,91,2702162,1991239
Kentucky,2001,138,4068132,3074027
Louisiana,2001,400,4477875,3273688
Maine,2001,0,1285692,985604
Maryland,2001,363,5374691,4008139
Massachusetts,2001,80,6397634,4892606
Michigan,2001,499,9991120,7397810
Minnesota,2001,68,4982796,3691535
Mississippi,2001,224,2852994,2084576
Missouri,2001,275,5641142,4214567
Montana,2001,20,906961,679843
Nebraska,2001,21,1719836,1271529
Nevada,2001,109,2098399,1563691
New Hampshire,2001,0,1255517,943640
New Jersey,2001,185,8492671,6389833
New Mexico,2001,67,1831690,1328286
New York,2001,583,19082838,14410413
North Carolina,2001,418,8210122,6206340
North Dakota,2001,0,639062,482949
Ohio,2001,316,11387404,8509281
Oklahoma,2001,126,3467100,2581882
Oregon,2001,47,3467937,2619274
Pennsylvania,2001,444,12298970,9393134
Rhode Island,2001,20,1057142,808846
South Carolina,2001,228,4064995,3048861
South Dakota,2001,0,757972,557177
Tennessee,2001,307,5750789,4343211
Texas,2001,873,21319622,15339435
Utah,2001,40,2283715,1556896
Vermont,2001,0,612223,466183
Virginia,2001,275,7198362,5443813
Washington,2001,106,5985722,4468195
West Virginia,2001,38,1801481,1406174
Wisconsin,2001,134,5406835,4039242
Wyoming,2001,0,494657,368445
Alabama,2002,292,4480089,3363499
Alaska,2002,26,642337,453855
Arizona,2002,355,5396255,3968317
Arkansas,2002,146,2705927,2027129
California,2002,1810,34871843,25506701
Colorado,2002,116,4490406,3352133
Connecticut,2002,57,3458749,2609872
Delaware,2002,28,806169,609223
District of Columbia,2002,176,573158,459336
Florida,2002,635,16689370,12914746
Georgia,2002,477,8508256,6258472
Hawaii,2002,15,1239613,946013
Idaho,2002,15,1340372,964386
Illinois,2002,728,12525556,9287194
Indiana,2002,242,6155967,4575153
Iowa,2002,30,2934234,2210549
Kansas,2002,74,2713535,2004119
Kentucky,2002,127,4089875,3094624
Louisiana,2002,467,4497267,3302448
Maine,2002,0,1295960,997365
Maryland,2002,365,5440389,4065035
Massachusetts,2002,94,6417206,4914554
Michigan,2002,489,10015710,7431400
