State,Year,SuicideDeaths
Alabama,1999,435
Alaska,1999,55
Arizona,1999,476
Arkansas,1999,234
California,1999,1532
Colorado,1999,309
Connecticut,1999,111
Delaware,1999,44
District of Columbia,1999,13
Florida,1999,1136
Georgia,1999,628
Hawaii,1999,23
Idaho,1999,125
Illinois,1999,481
Indiana,1999,368
Iowa,1999,160
Kansas,1999,166
Kentucky,1999,334
Louisiana,1999,389
Maine,1999,91
Maryland,1999,241
Massachusetts,1999,118
Michigan,1999,542
Minnesota,1999,228
Mississippi,1999,244
Missouri,1999,426
Montana,1999,96
Nebraska,1999,108
Nevada,1999,259
New Hampshire,1999,64
New Jersey,1999,195
New Mexico,1999,180
New York,1999,439
North Carolina,1999,567
North Dakota,1999,39
Ohio,1999,626
Oklahoma,1999,317
Oregon,1999,309
Pennsylvania,1999,709
Rhode Island,1999,35
South Carolina,1999,287
South Dakota,1999,56
Tennessee,1999,497
Texas,1999,1224
Utah,1999,153
Vermont,1999,46
Virginia,1999,503
Washington,1999,450
West Virginia,1999,169
Wisconsin,1999,299
Wyoming,1999,63
Alabama,2000,427
Alaska,2000,96
Arizona,2000,489
Arkansas,2000,244
California,2000,1487
Colorado,2000,350
Connecticut,2000,113
Delaware,2000,40
Florida,2000,1186
Georgia,2000,588
Hawaii,2000,37
Idaho,2000,107
Illinois,2000,431
Indiana,2000,411
Iowa,2000,157
Kansas,2000,186
Kentucky,2000,373
Louisiana,2000,326
Maine,2000,98
Maryland,2000,245
Massachusetts,2000,105
Michigan,2000,531
Minnesota,2000,223
Mississippi,2000,220
Missouri,2000,434
Montana,2000,107
Nebraska,2000,115
Nevada,2000,241
New Hampshire,2000,67
New Jersey,2000,154
New Mexico,2000,175
New York,2000,450
North Carolina,2000,621
North Dakota,2000,35
Ohio,2000,584
Oklahoma,2000,301
Oregon,2000,302
Pennsylvania,2000,756
Rhode Island,2000,27
South Carolina,2000,297
South Dakota,2000,51
Tennessee,2000,501
Texas,2000,1269
Utah,2000,174
Vermont,2000,47
Virginia,2000,484
Washington,2000,390
West Virginia,2000,173
Wisconsin,2000,304
Wyoming,2000,50
Alabama,2001,387
Alaska,2001,65
Arizona,2001,468
Arkansas,2001,274
California,2001,1450
Colorado,2001,390
Connecticut,2001,115
Delaware,2001,53
District of Columbia,2001,21
Florida,2001,1197
Georgia,2001,626
Hawaii,2001,31
Idaho,2001,136
Illinois,2001,505
Indiana,2001,411
Iowa,2001,157
Kansas,2001,160
Kentucky,2001,331
Louisiana,2001,352
Maine,2001,86
Maryland,2001,220
Massachusetts,2001,107
Michigan,2001,542
Minnesota,2001,242
Mississippi,2001,239
Missouri,2001,427
Montana,2001,133
Nebraska,2001,107
Nevada,2001,219
New Hampshire,2001,79
New Jersey,2001,167
New Mexico,2001,188
New York,2001,453
North Carolina,2001,632
North Dakota,2001,41
Ohio,2001,671
Oklahoma,2001,332
Oregon,2001,280
Pennsylvania,2001,684
Rhode Island,2001,25
South Carolina,2001,311
South Dakota,2001,43
Tennessee,2001,480
Texas,2001,1377
Utah,2001,182
Vermont,2001,42
Virginia,2001,467
Washington,2001,391
West Virginia,2001,195
Wisconsin,2001,317
Wyoming,2001,61
Alabama,2002,381
Alaska,2002,92
Arizona,2002,559
Arkansas,2002,257
California,2002,1490
Colorado,2002,380
Connecticut,2002,85
Delaware,2002,38
District of Columbia,2002,13
Florida,2002,1205
Georgia,2002,614
Hawaii,2002,21
Idaho,2002,137
Illinois,2002,466
Indiana,2002,448
Iowa,2002,157
Kansas,2002,184
Kentucky,2002,364
Louisiana,2002,349
Maine,2002,79
Maryland,2002,233
Massachusetts,2002,99
Michigan,2002,578
Minnesota,2002,238
Mississippi,2002,254
Missouri,2002,423
Montana,2002,115
Nebraska,2002,105
Nevada,2002,245
New Hampshire,2002,66
New Jersey,2002,176
New Mexico,2002,211
New York,2002,411
North Carolina,2002,630
North Dakota,2002,53
Ohio,2002,675
Oklahoma,2002,312
Oregon,2002,291
Pennsylvania,2002,720
Rhode Island,2002,30
South Carolina,2002,304
South Dakota,2002,50
Tennessee,2002,521
Texas,2002,1315
Utah,2002,174
Vermont,2002,54
Virginia,2002,491
Washington,2002,437
West Virginia,2002,188
Wisconsin,2002,308
Wyoming,2002,82
Alabama,2003,399
Alaska,2003,79
Arizona,2003,486
Arkansas,2003,258
California,2003,1505
Colorado,2003,363
Connecticut,2003,89
Delaware,2003,42
District of Columbia,2003,10
Florida,2003,1242
Georgia,2003,656
Hawaii,2003,24
Idaho,2003,137
Illinois,2003,404
Indiana,2003,418
Iowa,2003,178
Kansas,2003,211
Kentucky,2003,400
Louisiana,2003,316
Maine,2003,71
Maryland,2003,239
Massachusetts,2003,122
Michigan,2003,523
Minnesota,2003,244
Mississippi,2003,247
Missouri,2003,411
Montana,2003,120
Nebraska,2003,91
Nevada,2003,247
New Hampshire,2003,75
New Jersey,2003,183
New Mexico,2003,211
New York,2003,412
North Carolina,2003,619
North Dakota,2003,41
Ohio,2003,572
Oklahoma,2003,281
Oregon,2003,331
Pennsylvania,2003,724
Rhode Island,2003,12
South Carolina,2003,328
South Dakota,2003,60
Tennessee,2003,493
Texas,2003,1350
Utah,2003,181
Vermont,2003,38
Virginia,2003,452
Washington,2003,436
West Virginia,2003,191
Wisconsin,2003,310
Wyoming,2003,75
Alabama,2004,375
Alaska,2004,94
Arizona,2004,509
Arkansas,2004,232
California,2004,1366
Colorado,2004,402
Connecticut,2004,105
Delaware,2004,45
Florida,2004,1197
Georgia,2004,605
Hawaii,2004,31
Idaho,2004,151
Illinois,2004,387
Indiana,2004,385
Iowa,2004,155
Kansas,2004,204
Kentucky,2004,377
Louisiana,2004,371
Maine,2004,97
Maryland,2004,250
Massachusetts,2004,95
Michigan,2004,532
Minnesota,2004,268
Mississippi,2004,245
Missouri,2004,389
Montana,2004,105
Nebraska,2004,87
Nevada,2004,249
New Hampshire,2004,57
New Jersey,2004,185
New Mexico,2004,196
New York,2004,401
North Carolina,2004,608
North Dakota,2004,41
Ohio,2004,657
Oklahoma,2004,312
Oregon,2004,299
Pennsylvania,2004,722
Rhode Island,2004,22
South Carolina,2004,328
South Dakota,2004,61
Tennessee,2004,526
Texas,2004,1318
Utah,2004,183
Vermont,2004,56
Virginia,2004,494
Washington,2004,423
West Virginia,2004,192
Wisconsin,2004,308
Wyoming,2004,48
Alabama,2005,369
Alaska,2005,87
Arizona,2005,514
Arkansas,2005,262
California,2005,1329
Colorado,2005,396
Connecticut,2005,112
Delaware,2005,42
District of Columbia,2005,10
Florida,2005,1163
Georgia,2005,590
Hawaii,2005,22
Idaho,2005,160
Illinois,2005,424
Indiana,2005,416
Iowa,2005,170
Kansas,2005,188
Kentucky,2005,373
Louisiana,2005,348
Maine,2005,100
Maryland,2005,220
Massachusetts,2005,111
Michigan,2005,554
Minnesota,2005,255
Mississippi,2005,251
Missouri,2005,427
Montana,2005,135
Nebraska,2005,100
Nevada,2005,262
New Hampshire,2005,79
New Jersey,2005,136
New Mexico,2005,178
New York,2005,456
North Carolina,2005,632
North Dakota,2005,56
Ohio,2005,668
Oklahoma,2005,302
Oregon,2005,319
Pennsylvania,2005,768
Rhode Island,2005,19
South Carolina,2005,314
South Dakota,2005,71
Tennessee,2005,552
Texas,2005,1381
Utah,2005,190
Vermont,2005,36
Virginia,2005,511
Washington,2005,398
West Virginia,2005,188
Wisconsin,2005,302
Wyoming,2005,56
Alabama,2006,400
Alaska,2006,79
Arizona,2006,563
Arkansas,2006,247
California,2006,1319
Colorado,2006,371
Connecticut,2006,79
Delaware,2006,42
District of Columbia,2006,10
Florida,2006,1227
Georgia,2006,600
Hawaii,2006,21
Idaho,2006,145
Illinois,2006,372
Indiana,2006,442
Iowa,2006,149
Kansas,2006,211
Kentucky,2006,383
Louisiana,2006,331
Maine,2006,87
Maryland,2006,238
Massachusetts,2006,101
Michigan,2006,598
Minnesota,2006,243
Mississippi,2006,219
Missouri,2006,444
Montana,2006,102
Nebraska,2006,105
Nevada,2006,255
New Hampshire,2006,69
New Jersey,2006,173
New Mexico,2006,193
New York,2006,412
North Carolina,2006,660
North Dakota,2006,41
Ohio,2006,626
Oklahoma,2006,314
Oregon,2006,307
Pennsylvania,2006,734
Rhode Island,2006,27
South Carolina,2006,315
South Dakota,2006,71
Tennessee,2006,569
Texas,2006,1311
Utah,2006,189
Vermont,2006,43
Virginia,2006,499
Washington,2006,397
West Virginia,2006,179
Wisconsin,2006,299
Wyoming,2006,72
Alabama,2007,396
Alaska,2007,94
Arizona,2007,552
Arkansas,2007,244
California,2007,1422
Colorado,2007,396
Connecticut,2007,78
Delaware,2007,46
District of Columbia,2007,10
Florida,2007,1284
Georgia,2007,641
Hawaii,2007,27
Idaho,2007,147
Illinois,2007,423
Indiana,2007,392
Iowa,2007,133
Kansas,2007,213
Kentucky,2007,422
Louisiana,2007,335
Maine,2007,90
Maryland,2007,233
Massachusetts,2007,114
Michigan,2007,558
Minnesota,2007,265
Mississippi,2007,279
Missouri,2007,452
Montana,2007,120
Nebraska,2007,89
Nevada,2007,270
New Hampshire,2007,71
New Jersey,2007,165
New Mexico,2007,189
New York,2007,441
North Carolina,2007,607
North Dakota,2007,49
Ohio,2007,659
Oklahoma,2007,315
Oregon,2007,327
Pennsylvania,2007,719
Rhode Island,2007,24
South Carolina,2007,311
South Dakota,2007,44
Tennessee,2007,545
Texas,2007,1411
Utah,2007,197
Vermont,2007,43
Virginia,2007,487
Washington,2007,413
West Virginia,2007,205
Wisconsin,2007,338
