"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2013","New York",Brooklyn,"60 Glenmore Ave",0,6,N/A
"December 28, 2013",Alabama,Montgomery,"954 Highland Ave",3,5,N/A
"December 26, 2013",Louisiana,Slidell,"2144 First St",2,6,N/A
"December 26, 2013",Louisiana,Lockport,"313 Tenth St",3,3,N/A
"December 25, 2013","New Jersey",Irvington,"Nye Avenue and 21st Street",3,2,N/A
"December 25, 2013","New York",Medford,"33A Cedarhurst Ave",1,3,N/A
"December 22, 2013",Michigan,Muskegon,"2300 block of W McMillan Rd",1,3,N/A
"December 21, 2013","North Carolina",Shelby,"Jose Street",0,4,N/A
"December 21, 2013","New Jersey",Trenton,"Jersey Street and Home Avenue",1,4,N/A
"December 15, 2013",Florida,"Homestead (Florida City)","7th Avenue and 13th Terrace",1,3,N/A
"December 15, 2013",Texas,Channelview,"900 block of Ashland Boulevard",0,5,N/A
"December 14, 2013","North Carolina",Statesville,"167 Wallace Springs",0,4,N/A
"December 7, 2013",Delaware,Wilmington,"3421 Kirkwood Hwy",0,4,N/A
"December 1, 2013",Kansas,Topeka,"1629 SW Central Park",4,0,N/A
"December 1, 2013",Florida,Miami,"NW 64th Street and 12th Avenue",2,2,N/A
"November 30, 2013",Michigan,Lansing,N/A,0,5,N/A
"November 30, 2013",Georgia,Valdosta,"Gordon Street and North Ashley Street",0,4,N/A
"November 29, 2013",California,Fresno,"Oleander and Modoc",0,4,N/A
"November 29, 2013",Indiana,Indianapolis,"3400 block of East 34th Street",0,4,N/A
"November 28, 2013","New York",Rochester,"St. Paul Boulevard and Andrews Street",0,4,N/A
"November 25, 2013",Minnesota,Minneapolis,"1611 E Lake St",1,3,N/A
"November 25, 2013",California,Oakland,"96th Avenue and Olive Street",0,7,N/A
"November 23, 2013",Oklahoma,Tulsa,"Pine Street and Harvard Avenue",4,1,N/A
"November 21, 2013",Pennsylvania,Philadelphia,"1400 block of N. 60th Street",0,4,N/A
"November 20, 2013",Texas,Houston,"8200 block of Sunbury",3,2,N/A
"November 15, 2013",Texas,Houston,"4400 block of Tiffany",1,3,N/A
"November 11, 2013","New York",Brooklyn,"318 Maujer St",4,1,N/A
"November 10, 2013",Ohio,Canton,"1215 Tuscarawas St W",1,3,N/A
"November 10, 2013",Arizona,Phoenix,"5800 South 53rd Glen",1,3,N/A
"November 9, 2013",Texas,Cypress,"7300 block of Enchanted Creek Drive",2,16,N/A
"November 7, 2013",Michigan,Detroit,"Conley and 7 Mile",3,7,N/A
"November 5, 2013",Florida,Jacksonville,"1100 block of Randolph",4,0,N/A
"November 5, 2013","District of Columbia",Washington,"3900 block of Minnesota Ave",0,4,N/A
"November 3, 2013",California,"Los Angeles","1 World Way",1,3,N/A
"November 3, 2013",California,Perris,"2900 block of Perris Boulevard",0,5,N/A
"November 2, 2013",Kentucky,Radcliff,"355 Shelby Avenue",1,3,N/A
"October 29, 2013","South Carolina","Bradley (Callison)","Callison Highway",5,0,N/A
"October 27, 2013",California,Vallejo,"200 block of Princeton Avenue",1,6,N/A
"October 27, 2013","North Carolina","Southern Pines","115 Turner St",1,4,N/A
"October 27, 2013",California,Roseville,"6th Street and Hampton",0,4,N/A
"October 27, 2013",Texas,Beaumont,"500 block of Edgemore Drive",0,4,N/A
"October 26, 2013",Connecticut,"New Haven","85 Saint John St",1,5,N/A
"October 26, 2013",Florida,"Miami Gardens","NW 187 Street and 30 Avenue",0,4,N/A
"October 21, 2013",Pennsylvania,"Pittsburgh (Homewood)","7200 block of Kelly Street",2,5,N/A
"October 20, 2013",Florida,Miami,"19600 block of Southwest 168th Street",2,2,N/A
"October 20, 2013",Florida,Margate,"7400 block of Santa Monica Drive",0,4,N/A
"October 13, 2013",Pennsylvania,Harrisburg,"1524 Walnut St",0,8,N/A
"October 12, 2013",Oklahoma,Tulsa,"12000 E 31st St",0,5,N/A
"October 9, 2013",Texas,Paris,"400 block of NE 6th Street",4,0,N/A
"October 6, 2013",Pennsylvania,Philadelphia,"54th St. and Florence Ave",1,5,N/A
"October 6, 2013",Arizona,Avondale,"11120 W Van Buren St",0,4,N/A
"October 5, 2013","New York",Buffalo,"102  Zelmer Street",0,4,N/A
"October 5, 2013",California,Fresno,"3883 E. Calwa #114",1,12,N/A
"October 2, 2013",Nebraska,Omaha,"North 42nd and Browne streets",0,4,N/A
"September 29, 2013",Illinois,Chicago,"6000 block of South Indiana Avenue",0,4,N/A
"September 27, 2013",Ohio,Zanesville,"753 Putnam Ave",0,4,N/A
"September 25, 2013","North Carolina","Haw River","1003 W. Main St",0,4,N/A
"September 24, 2013","West Virginia",Huntington,"300 W 7th Ave",0,6,N/A
"September 22, 2013",Missouri,"Saint Louis","3916 North Florissant Road",1,3,N/A
"September 22, 2013",Kansas,Wichita,"100 block of N. Mead",1,6,N/A
"September 22, 2013",Michigan,Muskegon,"149 Ottawa Ave",2,4,N/A
"September 21, 2013",Florida,"Palm Beach","2600 block of Forest Hill Boulevard",0,4,N/A
"September 20, 2013",Texas,Rice,"700 block of NW 0149",5,0,N/A
"September 20, 2013",California,"Long Beach","6500 block of Rose Avenue",2,2,N/A
"September 19, 2013",Illinois,Chicago,"1809 W 50th St",0,12,N/A
"September 18, 2013",Tennessee,Memphis,"1033 Whitaker",1,4,N/A
"September 17, 2013",Florida,Kissimmee,"Flying Fortress Avenue",0,5,N/A
"September 17, 2013",Nevada,"Las Vegas","1300 block of Bartlett Avenue",0,4,N/A
"September 17, 2013",Michigan,Lansing,"1500 block of Ottawa Street",0,4,N/A
"September 17, 2013",California,Stockton,"700 block of North Airport Way",2,3,N/A
"September 16, 2013","District of Columbia","Washington Navy Yard","1336 Isaac Hull Ave",11,3,N/A
"September 15, 2013",Colorado,"Colorado Springs","1609 South Nevada",0,5,N/A
"September 15, 2013",Washington,Yakima,"2209 W Nob Hill Blvd",0,6,N/A
"September 15, 2013",Georgia,Snellville,"4630 Anderson Livsey Lane",3,1,N/A
"September 14, 2013","North Carolina",Marion,"80 Finley Road",0,4,N/A
"September 12, 2013",Tennessee,"Crab Orchard",N/A,4,0,N/A
"September 12, 2013","District of Columbia",Washington,"First Street and Pierce Street NW",1,3,N/A
"September 11, 2013","New York","New York","204 Varick St",0,4,N/A
"September 10, 2013",Connecticut,Bridgeport,"Reservoir Ave and Grandview Ave",1,4,N/A
"September 7, 2013",Indiana,Gary,"9300 block of Sunrise Boulevard",2,4,N/A
"September 7, 2013",Missouri,"Saint Louis","5000 block of Durant Ave",1,3,N/A
"September 5, 2013","North Carolina",Charlotte,"2500 block of Pinckney Avenue",0,4,N/A
"August 25, 2013",California,Oakland,"1300 block of 104th Avenue",0,4,N/A
"August 25, 2013",Florida,"Lake Butler","1050 Southeast 6th Street",4,1,N/A
"August 25, 2013",Minnesota,Minneapolis,"2600 block of Cedar and 2600 block of 18th Avenue South",2,2,N/A
"August 25, 2013","South Carolina",Latta,"214 Willis St",1,3,N/A
"August 20, 2013",Maryland,Baltimore,"1200 block of S. Carey St",2,2,N/A
"August 19, 2013",Illinois,Chicago,"1011 W. Wilson",1,4,N/A
"August 18, 2013","New Jersey","Port Norris","1600 block of North Avenue",0,4,N/A
"August 18, 2013",Ohio,Toledo,"2272 Scottwood Ave",0,4,N/A
"August 18, 2013","South Carolina",Chesterfield,"3217 Center Point Rd",1,4,N/A
"August 18, 2013",Illinois,Chicago,"100 block of South Springfield",1,3,N/A
"August 17, 2013",California,"San Francisco","1738 Telegraph Avenue",0,4,N/A
"August 14, 2013",Oklahoma,"Oklahoma City","4601 SE 79",4,0,N/A
"August 13, 2013",Pennsylvania,Philadelphia,"1100 block of Divinity Street",0,4,N/A
"August 11, 2013",Virginia,Portsmouth,"1100 block of Mt. Vernon Ave",1,4,N/A
"August 11, 2013","New York",Brooklyn,"395 East 48th Street",0,4,N/A
"August 10, 2013",Delaware,Wilmington,"1200 block of Second Street",0,4,N/A
"August 9, 2013",Missouri,"Saint Louis","4200 block of Kossuth Ave",2,2,N/A
"August 7, 2013",Texas,Dallas,"7100 block of Long Canyon Trail",4,4,N/A
"August 6, 2013","New Jersey",Montclair,"Mission Street",0,4,N/A
"August 6, 2013",Pennsylvania,Saylorsburg,"1000 Ross Municipal Dr",3,4,N/A
"August 4, 2013",Missouri,"Kansas City","2400 block of  Park Avenue",1,3,N/A
"August 4, 2013",California,Salinas,"624 Williams Road",3,4,N/A
"August 3, 2013",Michigan,Detroit,"Murray Hill St",0,5,N/A
"August 2, 2013",Indiana,Indianapolis,"62nd and College Ave",0,4,N/A
"August 2, 2013","New Jersey",Newark,"Livingston St. and 18th Avenue",2,3,N/A
"July 30, 2013","New Mexico",Hobbs,"2000 block of North Bensing Rd",0,4,N/A
"July 29, 2013",Washington,Granger,"300 block of S. Outlook Rd.",0,4,N/A
"July 28, 2013",Texas,Dallas,"2400 block of Royal Lane",0,4,N/A
"July 26, 2013",Florida,Hialeah,"1485 W 46th St",7,0,N/A
"July 26, 2013","West Virginia",Clarksburg,"743 Locust Avenue",4,0,N/A
"July 25, 2013",Michigan,Inkster,"Oakwood Street",0,4,N/A
"July 24, 2013",Kansas,Topeka,"221 SE Lawrence St",0,4,N/A
"July 21, 2013","New York",Brooklyn,"1445 Lincoln Place",0,4,N/A
"July 20, 2013","New York",Brooklyn,"Grove Street",0,5,N/A
"July 19, 2013",Connecticut,Hartford,"3155 Main St",0,4,N/A
"July 19, 2013",California,Madera,"Yosemite Avenue and Cleveland",0,4,N/A
"July 17, 2013",California,Oakland,"3400 block of Wilson Avenue",1,3,N/A
"July 14, 2013",Kansas,Wichita,"11th Street and Mead",1,4,N/A
"July 14, 2013",Michigan,"Grand Rapids (Kentwood)","Farmview Ct SE",0,5,N/A
"July 13, 2013",Ohio,Campbell,"Seventh Street",0,4,N/A
"July 13, 2013","District of Columbia",Washington,"2700 block of Stanton Road",0,4,N/A
"July 13, 2013",Oklahoma,"Oklahoma City","5405 N. Lincoln Blvd",1,3,N/A
"July 13, 2013","New Jersey","Trenton (Hamilton Township)","1100 block of Deutz Ave",1,4,N/A
"July 12, 2013",Kentucky,Greensburg,"194 C Mays Rd",2,2,N/A
"July 12, 2013",California,"San Francisco","3192 16th St",1,3,N/A
"July 11, 2013","North Carolina",Charlotte,"6300 block of Reagan Drive",2,2,N/A
"July 9, 2013",Illinois,Rockford,"600 block of Woodlawn Avenue",2,2,N/A
"July 9, 2013",Maryland,Baltimore,"600 block of N. Carrollton Ave",0,4,N/A
"July 7, 2013",Florida,"Pompano Beach","1600 block of Northwest 7th Lane",1,3,N/A
"July 7, 2013",California,Stockton,"2600 block of Connecticut Avenue",1,4,N/A
"July 7, 2013",Illinois,Chicago,"11300 block of S Forest Ave",0,5,N/A
"July 7, 2013",Mississippi,Meridian,"2500 block of 5th Street",0,4,N/A
"July 6, 2013",Alabama,Florence,"West Mobile Street",0,4,N/A
"July 6, 2013","New York",Brooklyn,"472 Marcy Avenue",1,3,N/A
"July 4, 2013",Michigan,Pontiac,"441 N Perry St",1,6,N/A
"July 4, 2013",Illinois,Chicago,"6000 block of South Cottage Grove Avenue",0,4,N/A
"July 1, 2013",Texas,"Fort Worth","2900 block of Pate Drive",4,0,N/A
"June 30, 2013","New York",Brooklyn,"616 E. 52nd Street",0,9,N/A
"June 30, 2013",Colorado,Aurora,"2300 block of Paris St",0,4,N/A
"June 29, 2013","South Carolina","North Charleston","4400 Dorchester Road; Suite 115",3,1,N/A
"June 28, 2013",Illinois,Chicago,"4800 block of North Sheridan Road",0,6,N/A
"June 27, 2013",California,"Three Rivers","39553-39833 Sierra Dr",2,2,N/A
"June 25, 2013",Illinois,Chicago,"73rd Street and King Drive",1,4,N/A
"June 24, 2013",Missouri,"Kansas City","1711 Kansas Avenue",1,3,N/A
"June 23, 2013",Virginia,"Virginia Beach","4600 block of Columbus Street",1,4,N/A
"June 23, 2013",Louisiana,"New Orleans","5700 block of Wickfield Drive",0,4,N/A
"June 23, 2013",Missouri,"Kansas City","1917 Prospect Ave",1,8,N/A
"June 23, 2013",California,Sacramento,"Sea Drift Way",1,3,N/A
"June 23, 2013",Tennessee,Chattanooga,"1501 Dodds Ave",1,4,N/A
"June 22, 2013","Rhode Island",Providence,"55 Curtis",0,4,N/A
"June 22, 2013",Maryland,Baltimore,"700 block of N. Kenwood Avenue",1,4,N/A
"June 21, 2013",Illinois,Chicago,"2900 block of North Kilpatrick Avenue",1,3,N/A
"June 21, 2013","North Carolina",Greenville,"205 Greenville Blvd SW",0,5,N/A
"June 21, 2013",Virginia,Norfolk,"1225 Tidewater Drive",0,6,N/A
"June 16, 2013",Illinois,Chicago,"900block of East 79th Street",1,3,N/A
"June 15, 2013",Texas,Houston,"9780 Bissonnet",1,3,N/A
"June 15, 2013",Tennessee,Nashville,"135 Brinkhaven Ave",0,4,N/A
"June 15, 2013","Rhode Island",Providence,"256 Hartford Ave",1,3,N/A
"June 14, 2013","North Carolina","High Point","2201 Little Avenue",0,5,N/A
"June 10, 2013",Illinois,Chicago,"5700 block of South Sangamon Street",1,4,N/A
"June 10, 2013",Missouri,"Saint Louis","4700 block of Highland Ave",0,6,N/A
"June 9, 2013",Pennsylvania,York,"600 block of West Princess Street",0,4,N/A
"June 7, 2013",California,"Santa Monica","2036 Yorkshire Ave",6,1,N/A
"June 2, 2013",Georgia,Lagrange,"Union Street",0,7,N/A
"June 2, 2013",Virginia,"Virginia Beach","4000 block of Roebling Lane",0,7,N/A
"June 2, 2013",Indiana,Indianapolis,"1913 East 46th Street",0,4,N/A
"June 1, 2013",California,Vallejo,"1st block of Linfield Drive",2,2,N/A
"June 1, 2013",Wisconsin,Milwaukee,"4126 N Teutonia Ave",0,4,N/A
"May 31, 2013",Georgia,Atlanta,"1000 block of Fair Street",0,4,N/A
"May 29, 2013",Illinois,Chicago,N/A,0,4,N/A
"May 28, 2013",Tennessee,Memphis,"2850 Brewer Avenue",1,3,N/A
"May 25, 2013",Virginia,Hampton,"1900 block of Coliseum Drive",1,4,N/A
"May 25, 2013",Michigan,Flint,"1100 block of Paterson",1,3,N/A
"May 24, 2013",California,Bakersfield,"3700 block of Columbus Street",2,2,N/A
"May 23, 2013",Tennessee,"Bean Station","1034 Main Street",2,2,N/A
"May 20, 2013",Illinois,Chicago,"5200 block of West Iowa Street",0,4,N/A
"May 19, 2013",Michigan,Detroit,N/A,0,4,N/A
"May 19, 2013",Tennessee,Memphis,"2281 Ketchum Rd",2,2,N/A
"May 18, 2013",Virginia,Victoria,"2073 Pleasant Oak Rd",0,4,N/A
"May 16, 2013",Pennsylvania,Philadelphia,"2600 block of Daggett Street",0,4,N/A
"May 15, 2013",Michigan,Detroit,"9000 block of Carlin",1,4,N/A
"May 13, 2013",Ohio,Cincinnati,"Kings Run Road",0,4,N/A
"May 12, 2013",Louisiana,"New Orleans","Frenchmen Street",0,19,N/A
"May 12, 2013",Arizona,"Apache Junction","3600 block of East Apache Trail",0,5,N/A
"May 11, 2013",Indiana,Columbus,"E Main Cross St",5,0,N/A
"May 11, 2013","New Jersey","Jersey City","Fremont Street",0,4,N/A
"May 11, 2013",Pennsylvania,Philadelphia,"21st Street and Medary Avenue",0,4,N/A
"May 10, 2013",California,"Los Angeles","1600 block of West 205th Street",3,1,N/A
"May 6, 2013",Pennsylvania,Johnstown,"Horner and Messenger streets",0,4,N/A
"May 5, 2013",California,"Palo Alto","Bay Road and University Avenue",0,5,N/A
"May 4, 2013","North Carolina",Smithfield,"150 South Equity Drive",0,4,N/A
"May 2, 2013","New Jersey",Newark,"804 S. 16th St",0,5,N/A
"April 28, 2013",Tennessee,Jackson,"438 East Main Street",2,2,N/A
"April 28, 2013",Pennsylvania,Chester,"Rose and Upland Street",1,3,N/A
"April 28, 2013","North Carolina",Charlotte,"William Reynolds Drive",0,5,N/A
"April 27, 2013",Florida,Williston,"County Road 318",1,3,N/A
"April 25, 2013",Ohio,Oberlin,"500 block of West College Street",0,4,N/A
"April 24, 2013",Illinois,Manchester,"East Street",6,1,N/A
"April 22, 2013",Louisiana,Harvey,"2300 block of Lapalco Boulevard",0,5,N/A
"April 22, 2013",Illinois,"Chicago (Englewood)","5700 block of South Lowe Avenue",0,4,N/A
"April 21, 2013",Washington,"Federal Way","33300 block of 18th Lane South",5,0,N/A
"April 18, 2013",Ohio,Akron,"Kimlyn Circle",4,0,N/A
"April 14, 2013",Arizona,Phoenix,"12400 North 25th Avenue",2,4,N/A
"April 14, 2013",Kentucky,Lexington,"750 East New Circle Rd",1,4,N/A
"April 10, 2013",California,Vallejo,"1800 block of Mini Drive",0,4,N/A
"April 9, 2013",Pennsylvania,Philadelphia,"Somerset Street and Lee Street",1,3,N/A
"April 7, 2013",California,"Long Beach","300 block of East Home Street",1,3,N/A
"April 7, 2013","New York","New York (Manhattan)","900 Garden Way",1,3,N/A
"April 6, 2013","South Carolina",Greenwood,"Tabor Street",1,4,N/A
"March 31, 2013",Washington,Auburn,"2802 Auburn Way North",3,2,N/A
"March 30, 2013",California,"Merced (county)","9200 block of Westside Boulevard",3,2,N/A
"March 22, 2013","New York",Brooklyn,"2703 W. 33rd Street",1,3,N/A
"March 21, 2013",Missouri,"Kansas City","4900 block of Brookside Blvd",1,3,N/A
"March 21, 2013",Illinois,Chicago,"West 87th Street and Ashland Avenue",0,7,N/A
"March 17, 2013",Florida,"Belle Glade","Northwest 16th Street and Northwest Avenue L",0,5,N/A
