State,weapons,devices,machinegun,silencer,short_barreled_rifle,short_barreled_gun,Total,Year
Alabama,1085,38742,14201,7195,791,2013,64027,2010
Alaska,307,2840,1602,1779,419,1071,8018,2010
Arkansas,568,43567,4188,5705,839,977,55844,2010
Arizona,1029,63380,15633,13828,4388,1747,100005,2010
California,3562,195423,26237,4798,2643,10103,242766,2010
Colorado,856,34346,5766,4792,1675,1348,48783,2010
Connecticut,633,8846,21943,4568,878,2518,39386,2010
District of Columbia,69,34059,4103,160,182,978,39551,2010
Delaware,32,1974,515,257,85,441,3304,2010
Florida,2906,92609,27607,22517,6019,5313,156971,2010
Georgia,1687,43185,20129,29004,2755,9241,106001,2010
Hawaii,34,5019,428,102,50,59,5692,2010
Iowa,870,11058,3055,229,314,882,16408,2010
Idaho,561,12432,3822,8993,900,379,27087,2010
Illinois,947,79858,23625,1007,1100,1633,108170,2010
Indiana,1285,32239,16623,11471,1886,8303,71807,2010
Kansas,670,18638,2765,1284,845,822,25024,2010
Kentucky,983,20527,8706,7481,1188,1615,40500,2010
Louisiana,511,43001,6274,3302,1352,1443,55883,2010
Massachusetts,817,12255,6341,4769,1035,844,26061,2010
Maryland,893,38657,23393,5991,1408,3679,74021,2010
Maine,556,2342,4597,1135,1370,376,10376,2010
Michigan,1038,20312,8656,1322,628,1094,33050,2010
Minnesota,2625,33944,7876,632,1044,995,47116,2010
Missouri,1286,23468,7660,3382,1523,2088,39407,2010
Mississippi,387,5854,3797,2416,435,686,13575,2010
Montana,385,2652,1842,1631,404,338,7252,2010
North Carolina,801,64510,10026,6862,2251,2377,86827,2010
North Dakota,171,1433,1226,1434,214,149,4627,2010
Nebraska,703,4873,2012,1792,546,734,10660,2010
New Hampshire,410,3203,5479,2293,1121,349,12855,2010
New Jersey,422,35733,6749,850,584,2267,46605,2010
New Mexico,269,52092,3652,2451,743,582,59789,2010
Nevada,674,27385,6342,5575,2186,742,42904,2010
New York,1853,33689,6675,892,948,7243,51300,2010
Ohio,1710,67249,16254,7450,2364,3589,98616,2010
Oklahoma,1065,12184,6858,6615,1402,1398,29522,2010
Oregon,1446,16429,6234,8391,1993,1225,35718,2010
Pennsylvania,1891,103223,17355,10059,3302,11057,146887,2010
Rhode Island,43,2633,572,26,108,112,3494,2010
South Carolina,650,24634,6165,6096,976,2233,40754,2010
South Dakota,339,3151,1425,1336,216,169,6636,2010
Tennessee,1436,30812,11883,7765,2143,5398,59437,2010
Texas,6113,141891,26978,36204,6958,6056,224200,2010
Utah,355,12629,5936,4400,1576,1090,25986,2010
Virginia,2456,146071,28760,13207,5807,5869,202170,2010
Vermont,217,2113,1064,66,112,92,3664,2010
Washington,1631,32863,3650,5136,975,728,44983,2010
Wisconsin,728,22776,6067,3861,1207,1087,35726,2010
West Virginia,420,5905,2375,1784,519,514,11517,2010
Wyoming,285,95528,1634,777,311,369,98904,2010
Other US Territories,6,286,175,15,11,47,540,2010
Alabama,1133,47421,15653,8550,1327,2075,76159,2011
Alaska,311,3317,1617,2085,508,1101,8939,2011
Arkansas,591,41962,4827,7218,1091,1017,56706,2011
Arizona,1080,67185,16879,15860,5492,1851,108347,2011
California,3698,212800,28774,7303,3738,12166,268479,2011
Colorado,910,37444,6040,6475,2217,1389,54475,2011
Connecticut,643,9886,22023,5170,1068,960,39750,2011
District of Columbia,69,34841,4278,160,440,1048,40836,2011
Delaware,32,2183,569,302,94,507,3687,2011
Florida,3113,101418,29128,28312,7432,6125,175528,2011
Georgia,1759,48026,22081,29259,3563,9422,114110,2011
Hawaii,34,5503,429,105,55,59,6185,2011
Iowa,876,11737,3262,301,343,936,17455,2011
Idaho,588,14049,4342,9839,1103,398,30319,2011
Illinois,958,83363,24651,1071,1214,1674,112931,2011
Indiana,1430,34628,17019,16735,2343,8581,80736,2011
Kansas,674,19379,3289,2266,1095,850,27553,2011
Kentucky,1019,22239,10703,12046,1379,1638,49024,2011
Louisiana,517,44821,6182,4359,1577,1508,58964,2011
Massachusetts,837,12878,6555,3679,1315,887,26151,2011
Maryland,933,45037,23709,7024,1713,3771,82187,2011
Maine,570,2517,4664,1290,1420,410,10871,2011
Michigan,1061,21221,9090,2887,700,1121,36080,2011
Minnesota,2633,36066,6828,619,1183,1011,48340,2011
Missouri,1330,24986,8230,4913,1864,2266,43589,2011
Mississippi,410,6776,3886,3368,572,712,15724,2011
Montana,404,2852,1892,2303,497,345,8293,2011
North Carolina,820,69005,11234,8609,2850,2542,95060,2011
North Dakota,199,1605,1480,1826,260,211,5581,2011
Nebraska,717,5068,2049,2273,895,768,11770,2011
New Hampshire,430,3459,9863,2782,1457,385,18376,2011
New Jersey,425,37700,6895,965,688,2316,48989,2011
New Mexico,277,60764,3709,2920,1094,607,69371,2011
Nevada,679,30778,6843,6671,2621,767,48359,2011
New York,2012,35707,7521,1153,1370,7342,55105,2011
Ohio,1776,71814,18013,10407,2842,3822,108674,2011
Oklahoma,1110,13004,7972,11964,1787,1470,37307,2011
Oregon,1487,17492,6442,9841,2346,1309,38917,2011
Pennsylvania,2043,148700,17384,12914,3853,12323,197217,2011
Rhode Island,42,2710,595,27,106,112,3592,2011
South Carolina,670,26358,6010,7457,1380,3655,45530,2011
South Dakota,344,3352,1495,2022,264,175,7652,2011
Tennessee,1502,32848,13442,9571,2623,5538,65524,2011
Texas,6169,159805,28690,47712,9271,6557,258204,2011
Utah,403,13960,6076,5857,1927,1160,29383,2011
Virginia,2514,161841,30220,15736,6720,6272,223303,2011
Vermont,221,2216,1070,68,134,94,3803,2011
Washington,1726,34693,3805,8400,1174,752,50550,2011
Wisconsin,747,25316,6385,4416,1419,1106,39389,2011
West Virginia,431,8318,2438,2325,682,548,14742,2011
Wyoming,286,102723,1659,1103,369,373,106513,2011
Other US Territories,6,320,175,16,11,47,575,2011
Alabama,1139,61755,17400,10610,1688,2129,94721,2012
Alaska,317,3419,1623,2660,796,1185,10000,2012
Arkansas,589,42590,5092,8702,1563,1022,59558,2012
Arizona,1118,71220,15498,19356,6567,1940,115699,2012
California,3813,224946,28954,7714,5700,12786,283913,2012
Colorado,928,39837,6357,8899,2700,1450,60171,2012
Connecticut,661,10410,20731,5883,1305,960,39950,2012
District of Columbia,69,36063,4344,207,760,1048,42491,2012
Delaware,32,2273,573,295,144,515,3832,2012
Florida,3199,103765,30227,34720,9383,6469,187763,2012
Georgia,1789,54484,27449,36140,4531,10631,135024,2012
Hawaii,34,6313,377,114,55,61,6954,2012
Iowa,878,12465,3387,360,403,946,18439,2012
Idaho,595,16525,3984,11667,1744,417,34932,2012
Illinois,960,86075,25936,1289,1440,1673,117373,2012
Indiana,1546,38134,17825,21212,2846,8611,90174,2012
Kansas,684,20241,3534,3686,1315,863,30323,2012
Kentucky,1045,23394,11458,16368,1686,1719,55670,2012
Louisiana,527,47438,6495,5668,1877,1597,63602,2012
Massachusetts,861,13505,6896,7248,1468,880,30858,2012
Maryland,957,46788,25022,7991,2188,3923,86869,2012
Maine,567,2663,4524,1538,1544,417,11253,2012
Michigan,1076,22460,11057,4736,774,1129,41232,2012
Minnesota,2634,37895,7542,689,1350,1040,51150,2012
Missouri,1335,26311,8656,7309,2344,2363,48318,2012
Mississippi,408,7694,4016,5017,853,717,18705,2012
Montana,430,3078,2190,3670,621,375,10364,2012
North Carolina,851,76713,10577,11243,3439,2683,105506,2012
North Dakota,193,1646,1544,2369,314,219,6285,2012
Nebraska,724,5688,2112,2980,814,778,13096,2012
New Hampshire,439,3874,7966,3768,1632,410,18089,2012
New Jersey,427,39145,6990,1009,737,2404,50712,2012
New Mexico,292,68957,3736,3651,1245,614,78495,2012
Nevada,807,31460,7224,8079,3119,835,51524,2012
New York,2171,37228,8017,2948,3424,7544,61332,2012
Ohio,1814,73788,18515,25353,3820,5233,128523,2012
Oklahoma,1131,14000,8363,20247,2219,1537,47497,2012
Oregon,1518,18542,6448,12239,2757,1353,42857,2012
Pennsylvania,2049,160958,17528,18710,4707,12418,216370,2012
Rhode Island,41,2996,637,28,99,112,3913,2012
South Carolina,680,27258,6355,11036,1871,3696,50896,2012
South Dakota,347,3515,1524,3369,321,180,9256,2012
Tennessee,1549,35444,13180,12005,3317,5612,71107,2012
Texas,6337,176494,30782,70569,12722,6950,303854,2012
Utah,408,14534,6202,9965,2213,1214,34536,2012
Virginia,2572,166468,31014,19134,8081,6449,233718,2012
Vermont,224,2258,1087,71,161,103,3904,2012
Washington,1791,37138,3979,11918,1355,770,56951,2012
Wisconsin,753,27388,6523,5513,1745,1137,43059,2012
West Virginia,437,8851,2488,2994,844,558,16172,2012
Wyoming,298,109083,1708,1490,413,383,113375,2012
Other US Territories,6,320,215,16,11,47,615,2012
Alabama,1143,62117,17463,11967,1915,2139,96744,2013
Alaska,318,4164,1643,2919,919,1204,11167,2013
Arkansas,588,44522,5059,9609,1712,1037,62527,2013
Arizona,1128,75858,15649,21382,7162,1951,123130,2013
California,3806,230410,28822,8907,8069,12863,292877,2013
Colorado,943,40705,6499,10535,3024,1472,63178,2013
Connecticut,680,10650,20606,6375,1463,966,40740,2013
District of Columbia,69,36453,4355,212,760,1048,42897,2013
