Name,Party,Office,Distid,Total from Gun Control,Total From Gun Rights,Gun Control Support,Gun Control Opposed,Gun Rights Support,Gun Rights Opposed,Stateid,Total Funding,Stance,log_grights,log_gcontrol,log_totalfund
"Cruz, Ted",Republican,Senate,TXS2,0,431415,0,8011,153467,0,TX,431415,Rights,12.97482810079834,0.0,12.97482810079834
"McSally, Martha",Republican,Senate,AZS1,0,336138,0,1823627,183451,0,AZ,336138,Rights,12.72528004387522,0.0,12.72528004387522
"Cornyn, John",Republican,Senate,TXS1,0,212975,0,861,35745,12360,TX,212975,Rights,12.2689347622868,0.0,12.2689347622868
"Young, Don",Republican,House,AK01,0,208376,0,861,140077,0,AK,208376,Rights,12.247104218087419,0.0,12.247104218087419
"Scalise, Steve",Republican,House,LA01,0,204518,0,861,0,0,LA,204518,Rights,12.228416159684622,0.0,12.228416159684622
"Johnson, Ron",Republican,Senate,WIS2,0,191538,0,21354,1044351,0,WI,191538,Rights,12.162846722220381,0.0,12.162846722220381
"Thune, John",Republican,Senate,SDS1,0,180865,0,861,579134,0,SD,180865,Rights,12.10551170457556,0.0,12.10551170457556
"Toomey, Pat",Republican,Senate,PAS1,0,161410,0,152102,956630,1266,PA,161410,Rights,11.991709186151144,0.0,11.991709186151144
"Rubio, Marco",Republican,Senate,FLS2,0,160944,0,861,1008030,0,FL,160944,Rights,11.988817970696104,0.0,11.988817970696104
"Calvert, Ken",Republican,House,CA42,0,157116,0,861,2781,0,CA,157116,Rights,11.964746029719652,0.0,11.964746029719652
"Blunt, Roy",Republican,Senate,MOS1,0,153543,0,861,1410511,0,MO,153543,Rights,11.941742449885714,0.0,11.941742449885714
"McConnell, Mitch",Republican,Senate,KYS1,0,141045,0,861,771175,315,KY,141045,Rights,11.856841357289989,0.0,11.856841357289989
"Blackburn, Marsha",Republican,Senate,TNS1,0,135973,0,861,628724,0,TN,135973,Rights,11.82021896997105,0.0,11.82021896997105
"Nunes, Devin",Republican,House,CA22,0,129213,0,861,340,0,CA,129213,Rights,11.769225223593338,0.0,11.769225223593338
"McCarthy, Kevin",Republican,House,CA23,0,122550,0,861,12040,0,CA,122550,Rights,11.716282548857688,0.0,11.716282548857688
"Burr, Richard",Republican,Senate,NCS2,0,122150,0,861,1431179,0,NC,122150,Rights,11.713013263308127,0.0,11.713013263308127
"Inhofe, James M",Republican,Senate,OKS2,0,119900,0,861,5258,1567,OK,119900,Rights,11.694421681264394,0.0,11.694421681264394
"Paul, Rand",Republican,Senate,KYS2,0,114750,0,861,99955,0,KY,114750,Rights,11.650519842481769,0.0,11.650519842481769
"Portman, Rob",Republican,Senate,OHS2,0,110586,0,861,1453538,0,OH,110586,Rights,11.613557820474762,0.0,11.613557820474762
"Peterson, Collin",Democrat,House,MN07,0,106500,0,861,25998,0,MN,106500,Rights,11.575909653758895,0.0,11.575909653758895
"Shelby, Richard C",Republican,Senate,ALS2,0,106100,0,861,172614,0,AL,106100,Rights,11.572146749628347,0.0,11.572146749628347
"McClintock, Tom",Republican,House,CA04,0,104860,0,861,19092,0,CA,104860,Rights,11.560390942605942,0.0,11.560390942605942
"Walden, Greg",Republican,House,OR02,0,104391,0,861,6496,0,OR,104391,Rights,11.555908323142082,0.0,11.555908323142082
"Grassley, Chuck",Republican,Senate,IAS1,0,102530,0,861,266356,3570,IA,102530,Rights,11.537920470859527,0.0,11.537920470859527
"King, Steven A",Republican,House,IA04,0,99692,0,861,51998,0,IA,99692,Rights,11.509850742853152,0.0,11.509850742853152
"Chabot, Steve",Republican,House,OH01,0,96542,0,861,54498,0,OH,96542,Rights,11.477743783933649,0.0,11.477743783933649
"Graham, Lindsey",Republican,Senate,SCS2,0,95866,0,861,8723,1897,SC,95866,Rights,11.470717093206334,0.0,11.470717093206334
"Buck, Ken",Republican,House,CO04,0,89873,0,861,819459,0,CO,89873,Rights,11.406163968396774,0.0,11.406163968396774
"Roberts, Pat",Republican,Senate,KSS1,0,89750,0,861,663384,0,KS,89750,Rights,11.404794448349735,0.0,11.404794448349735
"Young, Todd",Republican,Senate,INS2,0,87500,0,861,440645,0,IN,87500,Rights,11.37940550085183,0.0,11.37940550085183
